City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Touros,BR,2020-06-25 20:58:06,-5.2,-35.46,78.8,74,16,9.17
108,Ust-Kut,RU,2020-06-25 20:58:06,56.79,105.77,58.5,73,36,0.85
109,Mareeba,AU,2020-06-25 20:58:06,-17.0,145.43,68.0,68,40,9.17
110,Chuy,UY,2020-06-25 20:58:07,-33.7,-53.46,50.41,77,39,14.36
111,Vila Franca Do Campo,PT,2020-06-25 20:58:07,37.72,-25.43,66.2,82,20,16.11
112,Barrow,US,2020-06-25 20:57:14,71.29,-156.79,39.2,93,90,16.11
113,Saint-Philippe,RE,2020-06-25 20:58:07,-21.36,55.77,71.6,64,40,24.16
114,Lakhdenpokhya,RU,2020-06-25 20:58:08,61.52,30.2,67.06,62,0,5.03
115,Sao Filipe,CV,2020-06-25 20:58:08,14.9,-24.5,74.71,82,15,4.76
116,Norman Wells,CA,2020-06-25 20:58:08,65.28,-126.83,55.4,82,90,2.24
117,Monchegorsk,RU,2020-06-25 20:58:08,67.94,32.87,57.87,71,79,1.57
118,Bredasdorp,ZA,2020-06-25 20:58:09,-34.53,20.04,57.2,82,15,5.82
119,Hilo,US,2020-06-25 20:57:40,19.73,-155.09,82.4,58,75,6.93
120,Fauske,NO,2020-06-25 20:58:09,67.26,15.39,54.0,85,77,2.59
121,Luanda,AO,2020-06-25 20:58:09,-8.84,13.23,73.4,83,40,9.17
122,Soluno-Dmitriyevskoye,RU,2020-06-25 20:58:09,44.4,42.73,62.6,82,51,6.71
123,Kalispell,US,2020-06-25 20:58:10,48.2,-114.31,77.0,44,1,5.82
124,Santa Margherita Ligure,IT,2020-06-25 20:58:10,44.33,9.21,71.01,56,17,1.99
125,Juneau,US,2020-06-25 20:57:47,58.3,-134.42,51.01,81,90,18.34
126,Zonguldak,TR,2020-06-25 20:58:10,41.25,31.83,60.19,93,0,2.24
127,Flinders,AU,2020-06-25 20:58:11,-34.58,150.86,46.99,78,0,1.01
128,Najran,SA,2020-06-25 20:58:11,17.49,44.13,84.2,16,7,3.42
129,Rossland,CA,2020-06-25 20:58:11,49.08,-117.8,75.0,44,3,3.0
130,Margate,GB,2020-06-25 20:58:11,51.38,1.39,69.01,71,0,1.99
131,Fare,PF,2020-06-25 20:58:11,-16.7,-151.02,79.41,82,98,12.68
132,Enid,US,2020-06-25 20:58:12,36.4,-97.88,95.0,41,20,18.34
133,Syracuse,IT,2020-06-25 20:58:12,37.09,15.28,73.4,83,0,8.05
134,Cervo,ES,2020-06-25 20:58:12,43.67,-7.41,63.0,85,98,3.53
135,Dodoma,TZ,2020-06-25 20:54:05,-6.17,35.74,62.6,77,96,11.41
136,Vardo,NO,2020-06-25 20:58:13,70.37,31.11,48.2,87,20,5.82
137,Souillac,MU,2020-06-25 20:58:13,-20.52,57.52,71.6,73,40,16.11
138,Borogontsy,RU,2020-06-25 20:58:13,62.67,131.17,67.35,53,79,1.07
139,Hede,CN,2020-06-25 20:58:13,33.77,120.25,69.82,96,0,6.82
140,Geraldton,AU,2020-06-25 20:58:13,-28.77,114.6,53.6,87,75,16.11
141,Yulara,AU,2020-06-25 20:58:14,-25.24,130.99,37.4,64,0,5.82
142,Yumen,CN,2020-06-25 20:58:14,40.28,97.2,65.3,26,14,5.79
143,Richards Bay,ZA,2020-06-25 20:58:14,-28.78,32.04,66.97,75,0,15.05
144,Faanui,PF,2020-06-25 20:58:14,-16.48,-151.75,78.64,81,99,12.03
145,Ilheus,BR,2020-06-25 20:55:54,-14.79,-39.05,72.9,86,46,5.41
146,General Jose Eduvigis Diaz,PY,2020-06-25 20:58:16,-27.17,-58.42,62.6,33,17,14.99
147,Raudeberg,NO,2020-06-25 20:58:16,61.99,5.14,62.01,83,38,2.04
148,Bulancak,TR,2020-06-25 20:58:16,40.94,38.23,71.6,88,40,4.7
149,Mildura,AU,2020-06-25 20:58:17,-34.2,142.15,37.4,100,90,2.24
150,Guerrero Negro,MX,2020-06-25 20:58:17,27.98,-114.06,74.75,51,6,16.84
151,Hobyo,SO,2020-06-25 20:58:17,5.35,48.53,79.29,77,75,27.54
152,Mar Del Plata,AR,2020-06-25 20:57:41,-38.0,-57.56,48.2,70,75,6.93
153,Tazovskiy,RU,2020-06-25 20:58:18,67.47,78.7,53.17,67,100,9.26
154,Maningrida,AU,2020-06-25 20:58:18,-12.07,134.27,65.25,79,87,8.57
155,Hobart,AU,2020-06-25 20:55:17,-42.88,147.33,44.6,65,20,8.05
156,Mazyr,BY,2020-06-25 20:58:19,52.05,29.25,62.67,81,0,4.41
157,Conde,BR,2020-06-25 20:58:19,-7.26,-34.91,78.8,74,1,12.75
158,Pantai Remis,MY,2020-06-25 20:58:19,4.46,100.63,77.0,94,40,8.05
159,Mehamn,NO,2020-06-25 20:58:20,71.04,27.85,55.4,62,11,18.34
160,Trincomalee,LK,2020-06-25 20:58:20,8.57,81.23,80.55,79,100,13.11
161,Lagoa,PT,2020-06-25 20:58:20,39.05,-27.98,65.57,91,91,18.45
162,Tarancon,ES,2020-06-25 20:58:21,40.01,-3.01,84.99,32,33,9.17
163,Husavik,IS,2020-06-25 20:58:21,66.04,-17.34,53.6,76,40,10.29
164,Yunhe,CN,2020-06-25 20:58:21,34.08,119.72,70.52,90,2,7.36
165,Castro,BR,2020-06-25 20:58:21,-24.79,-50.01,63.43,84,76,9.8
166,Ponta Do Sol,PT,2020-06-25 20:58:22,32.67,-17.1,69.8,68,40,13.87
167,Kahului,US,2020-06-25 20:58:22,20.89,-156.47,82.0,78,23,5.01
168,Tautira,PF,2020-06-25 20:58:22,-17.73,-149.15,82.4,74,40,12.75
169,Santa Marta,CO,2020-06-25 20:56:49,11.24,-74.2,93.2,59,20,4.7
170,Cabo San Lucas,MX,2020-06-25 20:57:33,22.89,-109.91,87.8,43,5,9.17
171,Tiksi,RU,2020-06-25 20:58:23,71.69,128.87,47.97,82,66,3.56
172,Atar,MR,2020-06-25 20:58:23,20.52,-13.05,101.97,9,64,10.2
173,Derzhavinsk,KZ,2020-06-25 20:58:23,51.1,66.32,53.85,87,66,13.33
174,Sungairaya,ID,2020-06-25 20:58:23,0.7,108.9,76.8,90,87,4.88
175,Vulcan,RO,2020-06-25 20:58:24,45.38,23.27,58.1,87,3,2.93
176,Tuatapere,NZ,2020-06-25 20:58:24,-46.13,167.68,39.0,83,0,3.0
177,Tecoanapa,MX,2020-06-25 20:58:24,16.52,-98.75,83.1,80,100,12.12
178,Kaka,TM,2020-06-25 20:58:25,37.35,59.61,82.54,16,0,2.15
179,Constitucion,CL,2020-06-25 20:58:25,-35.33,-72.42,51.73,76,100,6.98
180,Torbay,CA,2020-06-25 20:58:25,47.67,-52.73,77.0,65,20,21.92
181,Barstow,US,2020-06-25 20:58:25,34.9,-117.02,102.2,12,1,13.87
182,Dingle,PH,2020-06-25 20:58:26,11.0,122.67,77.4,88,100,2.89
183,Sabang,ID,2020-06-25 20:58:26,5.89,95.32,83.57,67,100,7.18
184,Valdobbiadene,IT,2020-06-25 20:58:26,45.9,11.99,71.6,73,75,10.29
185,Zomin,UZ,2020-06-25 20:58:27,39.96,68.4,74.93,29,0,6.31
186,Saint Anthony,US,2020-06-25 20:56:02,45.02,-93.22,86.0,37,40,11.41
187,Kulhudhuffushi,MV,2020-06-25 20:58:27,6.62,73.07,81.48,79,100,23.51
188,Fuerte Olimpo,PY,2020-06-25 20:58:27,-21.04,-57.87,65.23,91,99,11.01
189,Ugoofaaru,MV,2020-06-25 20:58:28,5.67,73.0,82.31,76,100,17.47
190,Colquechaca,BO,2020-06-25 20:58:28,-18.67,-66.02,40.75,51,0,7.27
191,Butaritari,KI,2020-06-25 20:58:28,3.07,172.79,83.25,70,59,11.21
192,College,US,2020-06-25 20:58:28,64.86,-147.8,64.0,44,40,4.7
193,Biak,ID,2020-06-25 20:58:29,-0.91,122.88,76.17,85,100,5.32
194,Sitia,GR,2020-06-25 20:58:29,35.2,26.1,75.99,63,0,8.99
195,Hailin,CN,2020-06-25 20:58:29,44.58,129.42,60.94,86,99,3.47
196,Panama City,PA,2020-06-25 20:55:43,8.99,-79.52,91.4,70,40,8.05
197,Gizo,SB,2020-06-25 20:58:30,-8.1,156.84,82.89,79,100,16.87
198,Mallasamudram,IN,2020-06-25 20:58:30,11.48,78.03,77.92,75,22,3.29
199,Alyangula,AU,2020-06-25 20:58:30,-13.85,136.42,73.4,78,75,4.7
200,Codrington,AU,2020-06-25 20:58:30,-38.27,141.97,46.27,79,81,4.9
201,Ilulissat,GL,2020-06-25 20:58:31,69.22,-51.1,42.8,75,75,5.82
202,Saskylakh,RU,2020-06-25 20:58:31,71.92,114.08,79.21,34,62,5.82
203,Teya,RU,2020-06-25 20:58:31,60.38,92.63,54.99,88,0,2.53
204,Mahina,PF,2020-06-25 20:58:31,-17.51,-149.49,82.4,74,40,12.75
205,Laguna,US,2020-06-25 20:58:32,38.42,-121.42,98.01,30,5,8.05
