City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
96,San Patricio,MX,19.22,-104.7,87.8,66,40,5.82,scattered clouds,0.0,0.0
97,Weiser,US,44.25,-116.97,87.8,23,1,3.36,clear sky,0.0,0.0
98,Tabas,IR,33.6,56.92,87.8,22,0,9.17,clear sky,0.0,0.0
99,Jalalpur Pirwala,PK,29.51,71.22,90.79,54,0,16.24,clear sky,0.0,0.0
100,Fort Nelson,CA,58.81,-122.7,59.0,67,75,12.75,shower rain,0.0,0.0
101,Prince Rupert,CA,54.32,-130.32,55.4,87,90,5.82,overcast clouds,0.0,0.0
102,Alofi,NU,-19.06,-169.92,80.6,69,99,11.41,overcast clouds,0.0,0.0
103,Itoman,JP,26.12,127.67,86.0,84,75,14.99,broken clouds,0.0,0.0
104,Corning,US,42.14,-77.05,78.8,61,1,11.41,clear sky,0.0,0.0
105,Cayenne,GF,4.93,-52.33,77.0,100,100,4.94,overcast clouds,0.0,0.0
106,Rawson,AR,-43.3,-65.1,36.81,76,0,6.08,clear sky,0.0,0.0
107,Amahai,ID,-3.33,128.92,80.6,79,99,5.1,light rain,0.14,0.0
108,Ladushkin,RU,54.57,20.17,60.8,93,75,4.47,mist,0.0,0.0
109,Port Hedland,AU,-20.32,118.57,69.8,22,0,8.05,clear sky,0.0,0.0
110,New Norfolk,AU,-42.78,147.06,42.01,93,0,2.84,clear sky,0.0,0.0
111,Saint-Dizier,FR,48.42,5.08,69.8,68,75,8.05,broken clouds,0.0,0.0
112,Seddon,AU,-37.81,144.89,48.99,76,0,4.7,clear sky,0.0,0.0
113,Huilong,CN,31.81,121.66,78.01,97,100,9.91,moderate rain,2.06,0.0
114,Santa Marta,CO,11.24,-74.2,82.0,86,100,12.3,overcast clouds,0.0,0.0
115,Puerto Madryn,AR,-42.77,-65.04,37.17,74,0,3.53,clear sky,0.0,0.0
116,Strezhevoy,RU,60.73,77.59,55.4,93,75,6.71,broken clouds,0.0,0.0
117,Balashov,RU,51.55,43.17,60.01,76,0,1.99,clear sky,0.0,0.0
118,Saint Anthony,US,45.02,-93.22,84.2,39,75,8.05,broken clouds,0.0,0.0
119,East London,ZA,-33.02,27.91,62.85,59,100,21.12,overcast clouds,0.0,0.0
120,Fergus Falls,US,46.28,-96.08,82.99,48,1,10.29,clear sky,0.0,0.0
121,Saint-Pierre,RE,-21.34,55.48,68.0,77,24,4.7,few clouds,0.0,0.0
